Product,Image,Brand,Processor,RAM,Hard disk,SSD,Graphic card,Operating system,Resolution,Dimensions(mm),Weight(kg),Battery life,Price
"Micromax In Note 1 (4GB RAM, 64GB) - White",https://i.gadgets360cdn.com/products/large/micromax-in-note-1-370x800-1604390182.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Micromax,2GHz octa-core,4GB,,,,Android 10,1080x2400 pixels,165.24 x 76.95 x 8.99,,,"₹ 10,999"
"HP Pavilion 15-AB205TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Natural Silver)",https://i.gadgets360cdn.com/products/laptops/large/1525204288_635_pavilion-15-ab205tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 5th Gen 5200U,4GB,1TB,No,AMD Radeon R5 M335,Windows 10 Home,1920x1080 pixels,384.50 x 261.10 x 25.20,2.9,4.0,"₹ 49,790"
"HP Pavilion 15-AU626TX Laptop (Windows 10, 16GB RAM, 2000GB HDD, Intel Core i5, Natural Silver)",https://i.gadgets360cdn.com/products/laptops/large/1546453021_635_hp_pavilion-15-au626tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 7th Gen 7200U,16GB,2TB,No,Nvidia GeForce 940MX,Windows 10,1366x768 pixels,383.00 x 243.00 x 22.50,2.04,5.0,"₹ 69,980"
"Asus R558UQ-DM539D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207642_635_r558uq-dm539d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 7th Gen 7200U,4GB,1TB,No,Nvidia GeForce 940MX,DOS,1920x1080 pixels,382.00 x 256.00 x 25.50,2.3,4.5,"₹ 35,490"
"HP 240 G4 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204305_635_240-g4.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i3 5th Gen 5010U,4GB,500GB,No,AMD Radeon R5 M330,DOS,1366x768 pixels,345.40 x 2415.00 x 23.90,1.9,3.0,"₹ 27,500"
,https://i.gadgets360cdn.com/products/large/redmi-note-9-pro-5G-320x800-1606890534.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Xiaomi,1.8GHz octa-core,6GB,,,,Android 10,1080x2400 pixels,165.38 x 76.80 x 9.00,,,
"Acer Aspire E E1-572G Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525201889_635_aspire-e-e1-572g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i7 4th Gen 4500U,4GB,1TB,No,AMD Radeon 8750M,Linux,1366x768 pixels,381.60 x 256.00 x 25.30,2.4,4.0,"₹ 59,500"
"Dell Inspiron 3000 3543 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204181_635_inspiron-3000-3543.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 5th Gen 5200U,4GB,1TB,No,Nvidia GeForce 820M,Windows 10 Home,1366x768 pixels,384.00 x 267.00 x 26.60,2.5,4.0,"₹ 28,099"
"Asus X550LC-XX119H Laptop (Windows 8, 4GB RAM, 750GB HDD, Intel Core i5, Grey, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525202003_635_x550lc-xx119h.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 4th Gen 4200U,4GB,750GB,No,Nvidia GeForce 720M,Windows 8,1366x768 pixels,380.00 x 251.00 x 31.70,2.3,,"₹ 46,000"
"HP Pavilion 15-AU020TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i7, Gold)",https://i.gadgets360cdn.com/products/laptops/large/1546454284_635_hp_pavilion-15-au020tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i7 6th Gen 6500U,4GB,1TB,No,Nvidia GeForce 940MX,Windows 10,1920x1080 pixels,383.00 x 243.00 x 225.00,2.0,3.0,"₹ 72,500"
"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205917_635_g551vw-fi242t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 6th Gen 6700HQ,16GB,1TB,No,Nvidia GeForce GTX 960M,Windows 10 Home,3840x2160 pixels,382.00 x 255.00 x 16.00,2.7,,"₹ 98,500"
"HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207812_635_pavilion-15-au620tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 7th Gen 7200U,8GB,1TB,No,Nvidia GeForce,Windows 10 Home,1366x768 pixels,383.00 x 243.00 x 22.50,2.04,9.0,"₹ 56,950"
"HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207818_635_pavilion-15-au628tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i7 7th Gen 7500U,8GB,1TB,No,Nvidia GeForce 940MX,Windows 10 Home,1920x1080 pixels,383.00 x 243.00 x 22.50,2.04,9.0,"₹ 80,250"
"HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204399_635_15-ay006tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i3 5th Gen 5005U,4GB,500GB,No,AMD Radeon R5 M430,DOS,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,6.0,"₹ 35,799"
,https://gadgets.ndtv.com/static/mobile/images/upcoming.jpg?downsize=59:19&amp;output-format=webp,Xiaomi,1.8GHz octa-core,6GB,,,,Android 10,1080x2400 pixels,165.38 x 76.80 x 9.00,,,
"Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525206045_635_g50-45.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,AMD APU Quad Core A8 6th Gen A8 6410,8GB,1TB,No,AMD R5 M230,Windows 8.1,1366x768 pixels,384.00 x 265.00 x 25.00,2.5,4.0,"₹ 17,990"
